カプコケコ,カプ・コケコ
カプブルル,カプ・ブルル
カプレヒレ,カプ・レヒレ
カプテテフ,カプ・テテフ
メガフシギバナ,フシギバナ@メガストーン
メガリザードンX,リザードン@メガストーン
メガリザードンy,リザードン@メガストーン
メガカメックス,カメックス@メガストーン
メガスピアー,スピアー@メガストーン
メガピジョット,ピジョット@メガストーン
メガフーディン,フーディン@メガストーン
メガヤドラン,ヤドラン@メガストーン
メガゲンガー,ゲンガー@メガストーン
メガガルーラ,ガルーラ@メガストーン
メガカイロス,カイロス@メガストーン
メガギャラドス,ギャラドス@メガストーン
メガプテラ,プテラ@メガストーン
メガミュウツーX,ミュウツー@メガストーン
メガミュウツーY,ミュウツー@メガストーン
メガデンリュウ,デンリュウ@メガストーン
メガハガネール,ハガネール@メガストーン
メガハッサム,ハッサム@メガストーン
メガヘラクロス,ヘラクロス@メガストーン
メガヘルガー,ヘルガー@メガストーン
メガバンギラス,バンギラス@メガストーン
メガジュカイン,ジュカイン@メガストーン
メガバシャーモ,バシャーモ@メガストーン
メガラグラージ,ラグラージ@メガストーン
メガサーナイト,サーナイト@メガストーン
メガヤミラミ,ヤミラミ@メガストーン
メガクチート,クチート@メガストーン
メガボスゴドラ,ボスゴドラ@メガストーン
メガチャーレム,チャーレム@メガストーン
メガライボルト,ライボルト@メガストーン
メガサメハダー,サメハダー@メガストーン
メガバクーダ,バクーダ@メガストーン
メガチルタリス,チルタリス@メガストーン
メガジュペッタ,ジュペッタ@メガストーン
メガアブソル,アブソル@メガストーン
メガオニゴーリ,オニゴーリ@メガストーン
メガボーマンダ,ボーマンダ@メガストーン
メガメタグロス,メタグロス@メガストーン
メガラティアス,ラティアス@メガストーン
メガラティオス,ラティオス@メガストーン
メガレックウザ,レックウザ@メガストーン
メガミミロップ,ミミロップ@メガストーン
メガガブリアス,ガブリアス@メガストーン
メガルカリオ,ルカリオ@メガストーン
メガユキノオー,ユキノオー@メガストーン
メガエルレイド,エルレイド@メガストーン
メガタブンネ,タブンネ@メガストーン
メガディアンシー,ディアンシー@メガストーン
